transaction_id,supplier_id,date,order_value,delay_days,defect_rate,cost_variance
1,2001,2024-07-26,4041.2548518444064,5,0.04152553346075997,-0.0612386484959937
2,2001,2024-03-29,4539.0686047805775,5,0.013165724702510002,-0.28863822940333606
3,2001,2023-01-18,2439.509514959861,4,0.03843632921890604,0.6908879538565664
4,2001,2023-09-10,3892.892016450426,1,0.01443364515301714,0.19870456305862194
5,2001,2023-10-25,3038.4890358898774,1,0.03421533433871402,-0.9756631094617016
6,2001,2023-11-01,2153.608120575053,7,0.012074253433828744,-0.22825731310007513
7,2001,2023-06-13,4036.3457358491437,1,0.021040071455478305,0.228228702478952
8,2001,2023-07-28,3509.7338390752093,1,0.02006524014237089,-0.04991653149921649
9,2001,2023-07-31,1573.9818925679888,6,0.012800726602550166,0.5859307614221809
10,2001,2024-05-08,1717.8969033837807,7,0.015048290764725065,0.9342302732289214
11,2001,2023-05-30,1222.5715283662587,4,0.03727788875452779,-0.2501005403623464
12,2001,2023-05-01,1693.949516784945,0,0.020914464129868485,0.4633917847652598
13,2001,2024-08-15,4421.897558023925,1,0.020753227888728472,-0.3057106922580608
14,2001,2024-11-28,2638.207958798645,6,0.043097843776299355,0.4998425028135549
15,2001,2023-10-02,1837.6835050562663,0,0.03171418133192319,0.5334786024554949
16,2001,2023-07-12,2914.9668378663596,3,0.03221998608158616,-0.5749721561967962
17,2001,2023-08-10,3637.343808993296,0,0.012883071377586135,-0.276533512644376
18,2001,2024-11-07,2601.6119181471313,3,0.03435117785858988,0.8973394610010998
19,2001,2024-10-28,1876.4889571929066,7,0.03176629042486972,0.604480881942763
20,2001,2024-07-07,3411.8240250246636,7,0.03955313374976079,-0.7670925074052193
21,2001,2023-01-28,4343.149044934771,6,0.02245196303221416,-0.12577940473082339
22,2001,2024-11-08,1339.5196329745893,5,0.037487140939456105,0.6946148315504859
23,2001,2024-10-02,2934.754533927501,1,0.014054069333845946,-0.7940839200771557
24,2001,2024-05-23,1462.5108213129129,6,0.029796445834431924,0.2440499659819928
25,2001,2023-05-16,1133.0472696838206,3,0.012503339024812897,0.9730983532157831
26,2001,2023-01-17,2164.4149965035194,5,0.029069265599381326,0.2612686392420098
27,2001,2024-06-08,3859.5960792709207,5,0.014377851902966499,-0.7806908545034295
28,2001,2023-09-10,4648.250161228676,5,0.022963658944270236,0.447721574100699
29,2001,2023-05-19,3838.484290329454,7,0.02875235326518743,-0.8173782930032227
30,2001,2024-10-06,4559.32906356903,7,0.043380751231345334,-0.13665424211815158
31,2001,2023-01-30,2823.5926930939404,2,0.031836070112526815,-0.24300964149632542
32,2001,2023-06-13,3018.7190021618476,1,0.028906969385014004,-0.42826347462668735
33,2001,2024-05-09,4489.945717807479,2,0.011886409129362403,-0.27137868545072985
34,2001,2024-12-20,4096.141657994582,2,0.029420555262541608,0.5725583272826336
35,2001,2023-09-17,2930.4260814961763,4,0.04957856784679549,0.7680858421848515
36,2001,2024-08-02,1030.9279439095803,2,0.029002029629891513,0.714827690489841
37,2001,2024-11-20,2374.102856090346,0,0.03915972515802177,-0.16336738348503244
38,2001,2023-11-03,1383.0540237408914,3,0.022610234590562214,-0.3739667623689804
39,2001,2024-05-28,3618.201777430748,6,0.04707485756012481,0.4073808590261232
40,2001,2023-10-28,2292.136192201854,4,0.03732478329313526,-0.8317953368926942
41,2001,2024-01-13,2502.004836702649,1,0.017602348661125516,0.3860979487889369
42,2001,2023-07-30,3648.422505497821,0,0.02412289686257736,-0.63879451705941
43,2001,2023-08-13,1626.6427061403665,7,0.0194795829357073,-0.34308125288922686
44,2001,2023-01-07,4478.3826982299015,2,0.014876557850329668,-0.6637142348269232
